Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Primary cilium; Primary cilium transition zone,ACTN2,,ENSG00000077522,Actinin alpha 2,P35609,1,236664141-236764631,Disease related genes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins; Transporters,,Actin-binding,Cardiomyopathy; Disease variant,Evidence at protein level,Actin filaments; Focal adhesion sites; Primary cilium; Primary cilium transition zone; Cytosol,Actin filaments; Focal adhesion sites,Primary cilium; Primary cilium transition zone; Cytosol,Approved,Group enriched,Detected in many,35,"{'heart muscle': '695.9', 'skeletal muscle': '1961.6', 'tongue': '1195.2'}",Group enriched,"{'Cardiomyocytes': '1857.8', 'Myonuclei': '2582.4', 'Thymic myoid cells': '1051.0'}",Cell type enhanced
Primary cilium,ADORA1,RDC7,ENSG00000163485,Adenosine A1 receptor,P30542,1,203090654-203167405,FDA approved drug targets; G-protein coupled receptors; Predicted membrane proteins; Transporters,,G-protein coupled receptor; Receptor; Transducer,FDA approved drug targets,Evidence at protein level,Plasma membrane; Primary cilium,Plasma membrane,Primary cilium,Supported,Tissue enhanced,Detected in many,,"{'brain': '42.6', 'testis': '20.2'}",Cell type enhanced,"{'Adipocytes': '20.5', 'Astrocytes': '30.3', 'Brain excitatory neurons': '21.9', 'Breast secretory cells': '19.9', 'Müller glia': '60.9', 'Oligodendrocyte progenitor cells': '54.5', 'Oligodendrocytes': '55.1', 'Pancreatic duct cells': '30.8', 'Podocytes': '138.9', 'Retinal amacrine cells': '19.7', 'Sertoli cells': '28.8'}",Not detected
Basal body; Primary cilium,AIDA,C1orf80; FLJ12806,ENSG00000186063,"Axin interactor, dorsalization associated",Q96BJ3,1,222668013-222713210,Predicted intracellular proteins,,Developmental protein,,Evidence at protein level,Microtubules; Cytokinetic bridge; Primary cilium; Basal body,Microtubules; Primary cilium,Cytokinetic bridge; Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Microglia': '67.8'},Low cell type specificity
Centriolar satellite,AK5,,ENSG00000154027,Adenylate kinase 5,Q9Y6K8,1,77282019-77559966,Enzymes; Metabolic proteins; Predicted intracellular proteins,,Kinase; Transferase,,Evidence at protein level,Centriolar satellite; Cytosol,Cytosol,Centriolar satellite,Supported,Tissue enriched,Detected in many,7,{'brain': '125.0'},Cell type enhanced,"{'Brain excitatory neurons': '371.1', 'Brain inhibitory neurons': '246.6', 'Breast hormone-responsive cells': '183.9', 'Breast secretory cells': '204.7', 'Early spermatids': '107.4', 'Oligodendrocyte progenitor cells': '120.2', 'Oligodendrocytes': '864.8', 'Oocytes': '142.8', 'Other brain neurons': '111.7', 'Pituicytes/FSCs': '238.8', 'Undifferentiated spermatogonia': '125.3'}",Group enriched
Basal body; Primary cilium,AKT3,PKBG; PRKBG; RAC-gamma,ENSG00000117020,AKT serine/threonine kinase 3,Q9Y243,1,243488233-243851079,Cancer-related genes; Disease related genes; Enzymes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins; RAS pathway related proteins,,Kinase; Serine/threonine-protein kinase; Transferase,Cancer-related genes; Disease variant,Evidence at protein level,Nucleoplasm; Golgi apparatus; Plasma membrane; Primary cilium; Basal body; Cytosol,Nucleoplasm; Golgi apparatus; Cytosol,Plasma membrane; Primary cilium; Basal body,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Astrocytes': '670.6', 'Bergmann glia': '1045.5', 'Brain excitatory neurons': '759.9', 'Brain inhibitory neurons': '518.7', 'Choroid plexus epithelial cells': '417.9', 'Distal convoluted tubule cells': '294.1', 'Ependymal cells': '596.4', 'Microglia': '765.1', 'Oligodendrocyte progenitor cells': '830.4', 'Oligodendrocytes': '572.8', 'Other brain neurons': '455.8', 'Podocytes': '963.7', 'Renal collecting duct intercalated cells': '364.9', 'Renal collecting duct principal cells': '521.8', 'Renal connecting tubule cells': '404.7'}",Cell type enhanced
Basal body; Primary cilium; Primary cilium transition zone,ANKRD35,FLJ25124,ENSG00000198483,Ankyrin repeat domain 35,Q8N283,1,145866560-145885866,Essential proteins; Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Vesicles; Plasma membrane; Primary cilium; Primary cilium transition zone; Basal body,Plasma membrane,Nucleoplasm; Vesicles; Primary cilium; Primary cilium transition zone; Basal body,Approved,Tissue enhanced,Detected in many,,{'skin 1': '58.1'},Cell type enhanced,"{'Decidual stromal cells': '38.7', 'Endometrial ciliated cells': '91.9', 'Esophageal apical cells': '113.4', 'Esophageal suprabasal cells': '68.6', 'Fibroblasts': '36.9', 'Lacrimal acinar cells': '35.3', 'Müller glia': '33.9', 'Peritubular myoid cells': '40.6', 'Respiratory secretory cells': '40.5', 'Suprabasal keratinocytes': '44.9'}",Cell type enriched
Centrosome,ANKRD45,CT117; FLJ45235,ENSG00000183831,Ankyrin repeat domain 45,Q5TZF3,1,173608336-173669851,Predicted intracellular proteins,,,,Evidence at protein level,Plasma membrane; Centrosome; Cytosol,Cytosol,Plasma membrane; Centrosome,Supported,Tissue enhanced,Detected in many,,"{'choroid plexus': '6.0', 'fallopian tube': '11.9', 'parathyroid gland': '8.7'}",Cell type enhanced,"{'Distal convoluted tubule cells': '2.4', 'Endometrial ciliated cells': '2.3', 'Fallopian tube ciliated cells': '2.2', 'Loop of henle epithelial cells': '4.8', 'Papillary tip epithelial cells': '2.4', 'Podocytes': '4.6', 'Proximal tubule cells': '3.2', 'Renal collecting duct intercalated cells': '1.5', 'Renal collecting duct principal cells': '12.9', 'Renal connecting tubule cells': '9.2'}",Group enriched
Primary cilium; Primary cilium tip,ANKRD65,,ENSG00000235098,Ankyrin repeat domain 65,E5RJM6,1,1418420-1421769,Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Primary cilium tip,Nucleoplasm; Microtubules; Primary cilium,Cytokinetic bridge; Mitotic spindle; Primary cilium tip,Approved,Tissue enhanced,Detected in many,,{'brain': '38.7'},Cell type enhanced,"{'Breast myoepithelial cells': '83.5', 'Fallopian secretory cells': '43.4', 'Fallopian tube ciliated cells': '135.0', 'Prostatic hillock cells': '45.3', 'Respiratory ciliated cells': '60.2', 'Smooth muscle cells': '41.6'}",Cell type enriched
Centrosome,ANP32E,LANP-L; LANPL; MGC5350,ENSG00000143401,Acidic nuclear phosphoprotein 32 family member E,Q9BTT0,1,150218417-150236156,Predicted intracellular proteins,,Chaperone; Chromatin regulator,,Evidence at protein level,Nucleoplasm; Centrosome; Cytosol,Nucleoplasm,Centrosome; Cytosol,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Megakaryocyte progenitors': '202.1', 'Monocyte progenitors': '396.8', 'Neutrophil progenitors': '219.6'}",Cell type enhanced
Centrosome,ARHGAP29,PARG1,ENSG00000137962,Rho GTPase activating protein 29,Q52LW3,1,94148988-94275068,Predicted intracellular proteins,,GTPase activation,,Evidence at protein level,Nucleoplasm; Plasma membrane; Centrosome; Cytosol,Nucleoplasm; Centrosome,Plasma membrane; Cytosol,Approved,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Breast secretory cells': '307.8', 'Loop of henle epithelial cells': '487.9', 'Lymphatic endothelial cells': '589.9', 'Podocytes': '400.6', 'Renal connecting tubule cells': '414.5', 'Vascular endothelial cells': '544.4'}",Cell type enhanced
Basal body; Centrosome,ATF3,,ENSG00000162772,Activating transcription factor 3,P18847,1,212565334-212620777,Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,DNA-binding; Repressor,,Evidence at protein level,Nucleoplasm; Nucleoli; Vesicles; Centrosome; Basal body,Nucleoplasm; Nucleoli; Basal body,Vesicles; Centrosome,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Breast secretory cells': '1394.6', 'Endometrial glandular cells': '1349.7', 'Endometrial luminal cells': '1837.3', 'Epididymal basal cells': '1805.0', 'Epididymal efferent duct absorptive cells': '1270.5', 'Fallopian secretory cells': '1313.3', 'Smooth muscle cells': '1236.3'}",Not detected
Primary cilium; Primary cilium tip,ATF6,ATF6A,ENSG00000118217,Activating transcription factor 6,P18850,1,161766298-161977574,Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins; Transcription factors,Transcription; Transcription regulation; Unfolded protein response,Activator; DNA-binding,Disease variant,Evidence at protein level,Nucleoplasm; Nucleoli; Nucleoli fibrillar center; Endoplasmic reticulum; Golgi apparatus; Primary cilium; Primary cilium tip; Cytosol,Nucleoplasm; Golgi apparatus,Nucleoli; Nucleoli fibrillar center; Endoplasmic reticulum; Primary cilium; Primary cilium tip; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Neutrophils': '903.8'},Cell type enriched
